Layer  P [bar] 
1      1e-05      
2      1.17681195243e-05 
3      1.38488637139e-05 
4      1.62975083462e-05 
5      1.91791026167e-05 
6      2.25701971963e-05 
7      2.65608778295e-05 
8      3.12571584969e-05 
9      3.67837977183e-05 
10     4.32876128108e-05 
11     5.09413801482e-05 
12     5.99484250319e-05 
13     7.05480231072e-05 
14     8.30217568132e-05 
15     9.77009957299e-05 
16     0.00011497569954 
17     0.000135304777458 
18     0.000159228279334 
19     0.000187381742286 
20     0.00022051307399 
21     0.00025950242114 
22     0.000305385550883 
23     0.00035938136638 
24     0.000422924287439 
25     0.000497702356433 
26     0.000585702081806 
27     0.000689261210435 
28     0.00081113083079 
29     0.000954548456662 
30     0.00112332403298 
31     0.00132194114847 
32     0.00155567614393 
33     0.0018307382803 
34     0.00215443469003 
35     0.00253536449397 
36     0.00298364724028 
37     0.00351119173422 
38     0.00413201240012 
39     0.00486260158007 
40     0.00572236765935 
41     0.00673415065775 
42     0.00792482898354 
43     0.00932603346883 
44     0.0109749876549 
45     0.0129154966501 
46     0.0151991108295 
47     0.0178864952906 
48     0.0210490414451 
49     0.0247707635599 
50     0.0291505306283 
51     0.0343046928631 
52     0.040370172586 
53     0.047508101621 
54     0.0559081018251 
55     0.0657933224658 
56     0.0774263682681 
57     0.0911162756115 
58     0.107226722201 
59     0.126185688307 
60     0.148496826225 
61     0.174752840001 
62     0.205651230835 
63     0.242012826479 
64     0.284803586844 
65     0.335160265094 
66     0.394420605944 
67     0.464158883361 
68     0.546227721768 
69     0.642807311728 
70     0.756463327555 
71     0.890215085445 
72     1.04761575279 
73     1.23284673944 
74     1.4508287785 
75     1.70735264747 
76     2.00923300257 
77     2.36448941265 
78     2.78255940221 
79     3.27454916288 
80     3.85352859371 
81     4.53487850813 
82     5.33669923121 
83     6.28029144183 
84     7.39072203353 
85     8.69749002618 
86     10.235310219 
87     12.0450354026 
88     14.1747416293 
89     16.681005372 
90     19.6304065004 
91     23.1012970008 
92     27.1858824273 
93     31.992671378 
94     37.6493580679 
95     44.3062145758 
96     52.14008288 
97     61.3590727341 
98     72.2080901839 
99     84.9753435909 
100    100.0      
